model,runs,TP_mean,TP_sd,FP_mean,FP_sd,FN_mean,FN_sd,TN_mean,TN_sd,precision_mean,precision_sd,precision_defined_runs,recall_mean,recall_sd,recall_defined_runs,F1_mean,F1_sd,F1_defined_runs,specificity_mean,specificity_sd,specificity_defined_runs,accuracy_mean,accuracy_sd,accuracy_defined_runs,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_defined_runs,FPR_mean,FPR_sd,FPR_defined_runs,FNR_mean,FNR_sd,FNR_defined_runs,NPV_mean,NPV_sd,NPV_defined_runs,MCC_mean,MCC_sd,MCC_defined_runs
DeepSeek-V4-Pro,5,117.6,6.107372593840988,210.8,31.995312156626944,96.4,6.107372593840988,1690.2,31.995312156626944,0.3610424028028129,0.04382234769893091,5,0.5495327102803738,0.028539124270284977,5,0.4348986180309429,0.03604963910059035,5,0.8891109942135719,0.016830779672081506,5,0.8547517730496454,0.01599339266352078,5,0.7193218522469728,0.018043508716803464,5,0.1108890057864282,0.016830779672081506,5,0.4504672897196262,0.028539124270284995,5,0.9460291570924745,0.0035580319705623446,5,0.3667384974960497,0.04109087973253083,5
GPT-4.1,5,88.2,4.08656334834051,157.6,19.743353311937668,125.8,4.08656334834051,1743.4,19.743353311937668,0.36072814436259215,0.03218361293886947,5,0.4121495327102804,0.019096090412806122,5,0.3840941078448652,0.02078940146895574,5,0.9170962651236192,0.010385772389236022,5,0.8660047281323877,0.009316940533526847,5,0.6646228989169497,0.010341506746262486,5,0.08290373487638085,0.010385772389236015,5,0.5878504672897196,0.01909609041280611,5,0.9326978544086655,0.002092648422238909,5,0.31061729045229375,0.025139418748943952,5
GPT-5.2,5,134.6,4.39317652729776,323.0,22.54994456755936,79.4,4.39317652729776,1578.0,22.54994456755936,0.29480695578291183,0.02099340338758942,5,0.6289719626168224,0.020528862277092334,5,0.4013353595559016,0.023527281933033963,5,0.8300894266175697,0.011862148641535723,5,0.809739952718676,0.012610027469586628,5,0.7295306946171961,0.015915486530080448,5,0.1699105733824303,0.011862148641535692,5,0.3710280373831776,0.020528862277092337,5,0.9520677197515913,0.0031348624195114815,5,0.3366173589735575,0.028059125955212608,5
Gemini-3.1-Pro-Preview,5,107.2,3.1144823004794873,194.8,23.99374918598592,106.8,3.1144823004794873,1706.2,23.99374918598592,0.35665440545639854,0.028765441580345278,5,0.5009345794392523,0.014553655609717204,5,0.41620238190153785,0.022513977598257538,5,0.8975276170436612,0.01262164607363805,5,0.8573995271867613,0.011718712129936387,5,0.6992310982414568,0.010513737175733229,5,0.10247238295633877,0.012621646073638044,5,0.49906542056074765,0.014553655609717232,5,0.9410828228362007,0.001931713246334579,5,0.34430624461685927,0.025974907612620023,5
