model,conditions,mean_pairwise_jaccard_mean,mean_pairwise_jaccard_sd,mean_pairwise_jaccard_min,mean_pairwise_jaccard_max,min_pairwise_jaccard_mean,min_pairwise_jaccard_sd,min_pairwise_jaccard_min,min_pairwise_jaccard_max,unanimous_unit_rate_mean,unanimous_unit_rate_sd,unanimous_unit_rate_min,unanimous_unit_rate_max,flip_unit_rate_mean,flip_unit_rate_sd,flip_unit_rate_min,flip_unit_rate_max,fleiss_kappa_across_runs_mean,fleiss_kappa_across_runs_sd,fleiss_kappa_across_runs_min,fleiss_kappa_across_runs_max
DeepSeek-V4-Pro,39,0.7551862933975224,0.2273661659855756,0.2413095238095238,1.0,0.5895296183205113,0.3703169430787386,0.0,1.0,0.8639613492301828,0.20915018500369076,0.05,1.0,0.13603865076981722,0.20915018500369076,0.0,0.95,0.6438643563234565,0.2919482800236299,-0.10400000000000018,1.0
GPT-4.1,39,0.8285038493614137,0.2318077665887301,0.25920745920745925,1.0,0.7034830595916569,0.37923927868557655,0.0,1.0,0.9366337596971316,0.10820471050249296,0.5,1.0,0.06336624030286842,0.10820471050249296,0.0,0.5,0.7030505852763551,0.30842568191737907,-0.0038610038610110216,1.0
GPT-5.2,39,0.8213849057443497,0.18620281556517287,0.37218045112781956,1.0,0.6913485665405252,0.3150747545024674,0.0,1.0,0.8661535713084321,0.21875326787415106,0.08333333333333333,1.0,0.13384642869156793,0.21875326787415106,0.0,0.9166666666666666,0.7032204432418944,0.28971314156483946,-0.1120832565850065,1.0
Gemini-3.1-Pro-Preview,39,0.8494846838828997,0.2143586255271582,0.26666666666666666,1.0,0.7383014573681144,0.3277114300970598,0.0,1.0,0.9370074663780568,0.12494244267512755,0.3559322033898305,1.0,0.06299253362194329,0.12494244267512755,0.0,0.6440677966101696,0.7802165437795098,0.2737554460723975,-0.010101010101008969,1.0
