model,criterion,conditions,mean_pairwise_jaccard_mean,mean_pairwise_jaccard_sd,mean_pairwise_jaccard_min,mean_pairwise_jaccard_max,min_pairwise_jaccard_mean,min_pairwise_jaccard_sd,min_pairwise_jaccard_min,min_pairwise_jaccard_max,unanimous_unit_rate_mean,unanimous_unit_rate_sd,unanimous_unit_rate_min,unanimous_unit_rate_max,flip_unit_rate_mean,flip_unit_rate_sd,flip_unit_rate_min,flip_unit_rate_max,fleiss_kappa_across_runs_mean,fleiss_kappa_across_runs_sd,fleiss_kappa_across_runs_min,fleiss_kappa_across_runs_max
DeepSeek-V4-Pro,Atomic,3,0.7555555555555555,0.22194427061597977,0.5666666666666667,1.0,0.6111111111111112,0.3469443332443555,0.3333333333333333,1.0,0.9688391485626509,0.030626988834977085,0.9387755102040817,1.0,0.031160851437349108,0.030626988834977085,0.0,0.061224489795918324,0.7278124999999993,0.05347495032723387,0.6899999999999985,0.7656250000000002
DeepSeek-V4-Pro,Complete,3,0.511476429522027,0.09530212791873838,0.4365844944712869,0.61875,0.17147435897435898,0.08764428790945716,0.07692307692307693,0.25,0.5872138654835342,0.34756554257546907,0.1864406779661017,0.8059701492537313,0.4127861345164659,0.34756554257546907,0.19402985074626866,0.8135593220338984,0.4788734984518977,0.3144246901839319,0.12251347834169928,0.7172077922077922
DeepSeek-V4-Pro,Conceptually sound,3,0.33516024910761755,0.08860998842691609,0.2413095238095238,0.4173809523809524,0.06666666666666667,0.11547005383792516,0.0,0.2,0.5270833333333333,0.4134616316338595,0.05,0.78125,0.47291666666666665,0.41346163163385946,0.21875,0.95,0.22140365175964555,0.29650422630425427,-0.10400000000000018,0.4762960616619153
DeepSeek-V4-Pro,Conflict-free,3,0.8666666666666667,0.23094010767585033,0.6,1.0,0.6666666666666666,0.5773502691896257,0.0,1.0,0.9806763285024155,0.03346958082258702,0.9420289855072463,1.0,0.019323671497584554,0.03346958082258702,0.0,0.05797101449275366,0.7378419452887554,0.0,0.7378419452887554,0.7378419452887554
DeepSeek-V4-Pro,Estimatable,3,0.7158107389686337,0.14736082412259693,0.5666666666666667,0.86132110579479,0.5166666666666667,0.2753785273643051,0.25,0.8,0.8830376940133038,0.027865451724072735,0.8536585365853658,0.9090909090909091,0.11696230598669626,0.027865451724072735,0.09090909090909094,0.14634146341463417,0.7879911039527412,0.08407825075620676,0.6966911764705885,0.862231182795699
DeepSeek-V4-Pro,Full sentence,3,0.9010317460317461,0.17141804420939602,0.7030952380952381,1.0,0.8333333333333334,0.28867513459481287,0.5,1.0,0.9743589743589743,0.04441155916843272,0.9230769230769231,1.0,0.025641025641025623,0.04441155916843272,0.0,0.07692307692307687,0.7864867596523145,0.0,0.7864867596523145,0.7864867596523145
DeepSeek-V4-Pro,Independent,3,0.6867491928018243,0.17788930327772284,0.4821428571428571,0.8047619047619048,0.5039608574091332,0.22443986595849943,0.25,0.6756756756756757,0.7733838222325591,0.0989614740587668,0.7045454545454546,0.8867924528301887,0.22661617776744095,0.0989614740587668,0.1132075471698113,0.2954545454545454,0.6757850392944275,0.09065369024355413,0.571505569529285,0.7358264002058494
DeepSeek-V4-Pro,Minimal,3,0.9412698412698413,0.1017236188572198,0.8238095238095238,1.0,0.9047619047619048,0.1649572197684645,0.7142857142857143,1.0,0.9876543209876543,0.021383343303319504,0.9629629629629629,1.0,0.012345679012345697,0.021383343303319504,0.0,0.03703703703703709,0.8874999999999998,0.0,0.8874999999999998,0.8874999999999998
DeepSeek-V4-Pro,Problem-oriented,3,0.7823362462848037,0.20003664414141756,0.5531250099242426,0.9216666666666666,0.6556437389770723,0.21702932568763642,0.4074074074074074,0.8095238095238095,0.7707537469442232,0.24624365290245112,0.4864864864864865,0.9183673469387755,0.22924625305577684,0.24624365290245112,0.08163265306122447,0.5135135135135135,0.7610979310367375,0.266770306148686,0.4536971415072052,0.9319727891156462
DeepSeek-V4-Pro,Unambiguous,3,0.7713651479590758,0.04541600341451353,0.7442307692307693,0.8237962985780822,0.6224886224886225,0.11814443222259682,0.5384615384615384,0.7575757575757576,0.8213527779289329,0.052936047015444646,0.7647058823529411,0.8695652173913043,0.17864722207106712,0.052936047015444646,0.13043478260869568,0.23529411764705888,0.7929330345391816,0.023653575868071746,0.7658921109282008,0.8097826086956521
