model,rank,prompt_profile,F1_mean,MCC_mean,balanced_accuracy_mean
DeepSeek-V4-Pro,1,one_shot,0.47088306871944763,0.38740781565144544,0.7085762187464505
DeepSeek-V4-Pro,2,few_shot,0.4607487638433456,0.3739882668529283,0.7092353248897357
DeepSeek-V4-Pro,3,zero_shot,0.4592433538971619,0.3743558010720419,0.6994600768850516
GPT-5-Mini,1,zero_shot,0.4262900298271738,0.3382805964301201,0.6755893960699997
GPT-5-Mini,2,one_shot,0.4190657355454125,0.3383734963588265,0.663035663721486
GPT-5-Mini,3,few_shot,0.38228140983011893,0.3050446202591293,0.6387245656218555
Gemini-3.1-Pro-Preview,1,few_shot,0.42092935916883356,0.332313430481317,0.6722498716182816
Gemini-3.1-Pro-Preview,2,zero_shot,0.41746770681251705,0.3309872000695563,0.6668775166416302
Gemini-3.1-Pro-Preview,3,one_shot,0.4018869505322423,0.3086533655075918,0.6623344835695397
