level,prompt_profile,model,project,runs,TP_mean,TP_sd,FP_mean,FP_sd,FN_mean,FN_sd,TN_mean,TN_sd,precision_mean,precision_sd,recall_mean,recall_sd,F1_mean,F1_sd,specificity_mean,specificity_sd,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,MCC_mean,MCC_sd
project,zero_shot,DeepSeek-V4-Pro,Zooniverse,5,55.8,5.449770637375485,92.0,5.1478150704935,55.2,5.449770637375485,577.0,5.1478150704935,0.37740689986600084,0.0336210375809336,0.5027027027027027,0.04909703276914851,0.43106808018643167,0.039537273712673744,0.8624813153961137,0.007694790837807911,0.8112820512820512,0.01250903683861582,0.6825920090494082,0.02736291878970744,0.32547426177503724,0.04770721611152388
project,zero_shot,Gemini-3.1-Pro-Preview,BADCamp,5,46.2,2.7748873851023217,83.0,5.291502622129181,87.8,2.7748873851023217,680.0,5.291502622129181,0.3577372059059153,0.014561654149602414,0.3447761194029851,0.020708114814196443,0.3509247511729094,0.015157112407183822,0.891218872870249,0.006935127945123452,0.8095875139353399,0.005133049914479992,0.617997496136617,0.009152890688848479,0.23961701785549838,0.016571354342837484
project,zero_shot,Gemini-3.1-Pro-Preview,PlanningPoker,5,36.2,3.492849839314596,61.6,8.294576541331088,21.8,3.492849839314596,569.4,8.294576541331088,0.37196742460893406,0.04700353302538366,0.6241379310344828,0.060221548953699966,0.4655880260147258,0.05072829284314045,0.902377179080824,0.013145129225564324,0.8789550072568941,0.014858036449427833,0.7632575550576535,0.0333531787869657,0.41985027070098707,0.0576296386119822
project,zero_shot,Gemini-3.1-Pro-Preview,Zooniverse,5,45.4,0.5477225575051661,37.0,1.0,65.6,0.5477225575051661,632.0,1.0,0.5510138113429328,0.009485982734825482,0.409009009009009,0.0049344374550014765,0.4695048341434752,0.006626657117141325,0.9446935724962631,0.001494768310911776,0.8684615384615384,0.001944327036936288,0.6768512907526361,0.0031642292300026937,0.4020357585786611,0.008099006714223145
project,zero_shot,GPT-5-Mini,BADCamp,5,46.6,6.877499545619759,52.6,13.95707705789432,87.4,6.877499545619759,710.4,13.95707705789432,0.47366097504556803,0.0487990793202961,0.34776119402985073,0.051324623474774324,0.3986478058545234,0.03910275977624463,0.9310615989515073,0.018292368358970253,0.8439241917502788,0.01238913643862478,0.639411396490679,0.021265199018133934,0.317964048643336,0.04080411182759596
project,zero_shot,GPT-5-Mini,PlanningPoker,5,31.2,3.63318042491699,47.2,10.009995004993758,26.8,3.63318042491699,583.8,10.009995004993758,0.40216680579694275,0.062251974548738334,0.5379310344827586,0.06264104180891361,0.4587648397732592,0.05707315311406386,0.9251980982567354,0.015863700483349882,0.8925979680696662,0.01599811878450551,0.731564566369747,0.03315448944534306,0.4068423383978009,0.06335133751658457
project,zero_shot,GPT-5-Mini,Zooniverse,5,57.6,5.412947441089743,97.6,30.80259729308553,53.4,5.412947441089743,571.4,30.80259729308553,0.3863129146631186,0.08644661625580186,0.518918918918919,0.048765292262069763,0.4358892533720928,0.03740350891458024,0.8541106128550074,0.04604274632748209,0.8064102564102564,0.03463911816950333,0.6865147658869633,0.01700719736006176,0.3331824192958213,0.05395996698241314
overall,few_shot,DeepSeek-V4-Pro,,5,161.4,12.461942063739503,235.6,8.502940667792526,141.6,12.461942063739503,1827.4,8.502940667792526,0.40619141990649066,0.018309935636848622,0.5326732673267327,0.04112852166250663,0.4607487638433456,0.026527964145302466,0.8857973824527388,0.0041216387143929,0.840574809805579,0.005440596451405246,0.7092353248897357,0.020059394938053556,0.3739882668529283,0.030932760793316062
overall,few_shot,Gemini-3.1-Pro-Preview,,5,133.2,9.705668446840743,196.2,3.2710854467592254,169.8,9.705668446840743,1866.8,3.2710854467592254,0.4039696662217267,0.01603568975509772,0.43960396039603966,0.032031909065481014,0.42092935916883356,0.023244027157844058,0.9048957828405235,0.0015855964356564424,0.8453085376162299,0.003648071957234173,0.6722498716182816,0.015651870812987814,0.332313430481317,0.02554022283919332
overall,few_shot,GPT-5-Mini,,5,104.6,6.107372593840988,139.8,16.02186006679624,198.4,6.107372593840988,1923.2,16.02186006679624,0.4291339753255441,0.031227938533687445,0.3452145214521452,0.020156345194194684,0.38228140983011893,0.02153698365839329,0.9322346097915657,0.007766291840424725,0.8570583262890956,0.007359526241649663,0.6387245656218555,0.010969405689332355,0.3050446202591293,0.02586226553552453
overall,one_shot,DeepSeek-V4-Pro,,5,156.8,9.311283477587823,207.0,29.257477676655586,146.2,9.311283477587823,1856.0,29.257477676655586,0.4331916570121626,0.04224820095442841,0.5174917491749176,0.030730308506890524,0.47088306871944763,0.031612033056877854,0.8996606883179835,0.01418200566003661,0.8507185122569737,0.013262861323572458,0.7085762187464505,0.017411717157940293,0.38740781565144544,0.03824324150468222
overall,one_shot,Gemini-3.1-Pro-Preview,,5,129.6,4.722287581247038,212.6,13.63084736911099,173.4,4.722287581247038,1850.4,13.63084736911099,0.37915890421436943,0.0204046430477935,0.42772277227722777,0.015585107528868112,0.4018869505322423,0.017475956103639403,0.8969461948618516,0.006607293925889945,0.8368554522400675,0.007028017391511395,0.6623344835695397,0.009949576971816016,0.3086533655075918,0.021112660131743614
overall,one_shot,GPT-5-Mini,,5,121.8,6.457553716385176,156.6,13.202272531651511,181.2,6.457553716385176,1906.4,13.202272531651511,0.4380440880049285,0.026373796561954956,0.401980198019802,0.02131205846991808,0.4190657355454125,0.02197198972128211,0.9240911294231701,0.006399550427363819,0.8572273879966188,0.006876417396455363,0.663035663721486,0.011969408795648574,0.3383734963588265,0.02564426601684077
overall,zero_shot,DeepSeek-V4-Pro,,5,150.6,2.5099800796022267,202.4,13.813037319865606,152.4,2.5099800796022267,1860.6,13.813037319865606,0.42710190444813545,0.014113201764249338,0.497029702970297,0.008283762638951237,0.4592433538971619,0.007155199954417523,0.901890450799806,0.006695607038228622,0.8500422654268809,0.005188500774107823,0.6994600768850516,0.0031313913576737355,0.3743558010720419,0.009191383948810531
overall,zero_shot,Gemini-3.1-Pro-Preview,,5,127.8,4.08656334834051,181.6,12.280065146407,175.2,4.08656334834051,1881.4,12.280065146407,0.41351057891289705,0.019167493560951834,0.4217821782178218,0.013487007750298713,0.41746770681251705,0.014307784701493012,0.9119728550654387,0.005952527942999024,0.8491969568892646,0.005665774667265491,0.6668775166416302,0.0076949526918066126,0.3309872000695563,0.017290096839921408
overall,zero_shot,GPT-5-Mini,,5,135.4,10.16366075781753,197.4,26.130442016927308,167.6,10.16366075781753,1865.6,26.130442016927308,0.4086151650148448,0.04117324993251666,0.44686468646864685,0.03354343484428227,0.4262900298271738,0.032940692640916855,0.9043141056713525,0.012666234617996756,0.845731191885038,0.012398258786029244,0.6755893960699997,0.01873912065485112,0.3382805964301201,0.03952120886940667
