model,n,TP,FP,FN,TN,precision,recall,F1,specificity,accuracy,balanced_accuracy,FPR,FNR,NPV,MCC
DeepSeek-V4-Pro,2115,113,225,101,1676,0.3343195266272189,0.5280373831775701,0.4094202898550725,0.8816412414518674,0.8458628841607565,0.7048393123147187,0.11835875854813256,0.4719626168224299,0.9431626336522229,0.33716243827343345
GPT-4.1,2115,88,161,126,1740,0.3534136546184739,0.411214953271028,0.38012958963282933,0.9153077327722251,0.8643026004728133,0.6632613430216265,0.08469226722777486,0.5887850467289719,0.932475884244373,0.3055313734155034
GPT-5.2,2115,135,344,79,1557,0.2818371607515658,0.6308411214953271,0.3896103896103897,0.8190426091530774,0.8,0.7249418653242022,0.18095739084692267,0.3691588785046729,0.9517114914425427,0.32414462657429977
Gemini-3.1-Pro-Preview,2115,106,193,108,1708,0.35451505016722407,0.4953271028037383,0.4132553606237817,0.8984744871120462,0.8576832151300237,0.6969007949578923,0.10152551288795371,0.5046728971962616,0.9405286343612335,0.34086459490818016
