model,project_run_rows,precision_mean_across_project_runs,precision_sd_across_project_runs,recall_mean_across_project_runs,recall_sd_across_project_runs,F1_mean_across_project_runs,F1_sd_across_project_runs,specificity_mean_across_project_runs,specificity_sd_across_project_runs,accuracy_mean_across_project_runs,accuracy_sd_across_project_runs,balanced_accuracy_mean_across_project_runs,balanced_accuracy_sd_across_project_runs,FPR_mean_across_project_runs,FPR_sd_across_project_runs,FNR_mean_across_project_runs,FNR_sd_across_project_runs,NPV_mean_across_project_runs,NPV_sd_across_project_runs,MCC_mean_across_project_runs,MCC_sd_across_project_runs
AQUSA,3,0.2611111111111111,0.06735753140545632,0.24545454545454545,0.1856416168787467,0.24282501124606387,0.12871702148619288,0.9757507024395838,0.007933416257664184,0.9470941177284543,0.004198714522433494,0.6106026239470647,0.08902076734324704,0.024249297560416175,0.007933416257664206,0.7545454545454545,0.18564161687874675,0.9695110976117355,0.009425729454433108,0.22162220970160768,0.12773022827374808
DeepSeek-V4-Pro,15,0.6295512820512821,0.2355595169368795,0.4484848484848485,0.2572827465046133,0.4918097673852149,0.20620458185406945,0.9892908068020363,0.00659485400395436,0.9677764758197461,0.010929152926210587,0.7188878276434424,0.12792173509314256,0.010709193197963722,0.006594854003954362,0.5515151515151515,0.2572827465046133,0.9775808638762171,0.011059092069919434,0.4993402786243302,0.20636862196889016
GPT-4.1,15,0.415419079712558,0.2813153425026079,0.3593939393939394,0.31267718314250237,0.2799608156833221,0.1866242216392219,0.9715023535000216,0.02143183521773014,0.9470801295416793,0.013667893629527856,0.6654481464469805,0.14798581027952523,0.028497646499978407,0.021431835217730132,0.6406060606060606,0.31267718314250237,0.9737418634615201,0.013042529335978516,0.35954116021960025,0.14693353526613806
GPT-5.2,15,0.30842934842934844,0.0627186149320007,0.3515151515151515,0.1733981049324805,0.31028540140944016,0.08177876159281883,0.9681676326317079,0.01359458173139826,0.9438447889915988,0.009399255100830348,0.6598413920734296,0.08179297958940265,0.03183236736829213,0.013594581731398249,0.6484848484848486,0.17339810493248053,0.9734135940221676,0.008326983698774649,0.292223095902003,0.0900258569993049
Gemini-3.1-Pro-Preview,15,0.7861616161616162,0.24728279801522132,0.4484848484848485,0.28348203149449175,0.51997113997114,0.24611788061878404,0.9928611608429133,0.009652058663208824,0.971086770156606,0.015992323037591755,0.720673004663881,0.14216506948821178,0.007138839157086658,0.009652058663208835,0.5515151515151515,0.28348203149449175,0.9774960409348112,0.012129576369052741,0.5510250040683328,0.2251459420670712
