prompt_profile,model,project,runs,TP_mean,TP_sd,FP_mean,FP_sd,FN_mean,FN_sd,TN_mean,TN_sd,precision_mean,precision_sd,recall_mean,recall_sd,F1_mean,F1_sd,specificity_mean,specificity_sd,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,FPR_mean,FPR_sd,FNR_mean,FNR_sd,NPV_mean,NPV_sd,MCC_mean,MCC_sd
few_shot,DeepSeek-V4-Pro,BADCamp,5,58.2,2.8635642126552705,59.6,5.549774770204643,75.8,2.8635642126552705,703.4,5.549774770204643,0.49470192313203976,0.027890829710858055,0.4343283582089552,0.02136988218399456,0.4623195533771021,0.02131957074353795,0.9218872870249017,0.007273623552037547,0.8490523968784839,0.007293390070812121,0.6781078226169284,0.011691280791954443,0.0781127129750983,0.007273623552037539,0.5656716417910447,0.02136988218399454,0.9027245619908573,0.0034700731635794865,0.3761883787776277,0.025557134527759276
few_shot,DeepSeek-V4-Pro,PlanningPoker,5,41.0,2.5495097567963922,68.6,8.264381404557755,17.0,2.5495097567963922,562.4,8.264381404557755,0.37545212526687427,0.02863538809588993,0.7068965517241379,0.043957064772351596,0.48978056407938586,0.028678179528408277,0.891283676703645,0.01309727639391084,0.8757619738751814,0.01154735807310079,0.7990901142138915,0.021151461954855157,0.10871632329635499,0.013097276393910864,0.29310344827586204,0.04395706477235159,0.9706827078537312,0.004194564886827359,0.4548104407171264,0.032441932497233913
few_shot,DeepSeek-V4-Pro,Zooniverse,5,62.2,9.284395510748128,107.4,8.87693640846886,48.8,9.284395510748128,561.6,8.87693640846886,0.3661649176313123,0.042436635779089585,0.5603603603603604,0.0836432027995327,0.44251365060132536,0.05590043404354533,0.8394618834080717,0.01326896324135856,0.7997435897435897,0.01818525459127911,0.699911121884216,0.04375995246443385,0.16053811659192824,0.013268963241358534,0.4396396396396396,0.08364320279953269,0.9201750103732026,0.014308400911862602,0.3382721985473863,0.06981147199927012
few_shot,GPT-5-Mini,BADCamp,5,37.0,2.5495097567963922,53.0,8.154753215150045,97.0,2.5495097567963922,710.0,8.154753215150045,0.41372631543875926,0.05114573679206041,0.27611940298507465,0.019026192214898447,0.3308406604860223,0.02885148799037176,0.9305373525557012,0.010687749954325086,0.8327759197324415,0.01123157284259192,0.603328377770388,0.013738398787384972,0.06946264744429882,0.010687749954325091,0.7238805970149254,0.01902619221489846,0.8797856567207741,0.0037107660543019014,0.24617506440160972,0.03897922958240497
few_shot,GPT-5-Mini,PlanningPoker,5,28.0,2.8284271247461903,44.2,8.555699854482976,30.0,2.8284271247461903,586.8,8.555699854482976,0.3915221480661626,0.056143802092581054,0.48275862068965514,0.04876598490941708,0.4310759698161273,0.04680848178087735,0.9299524564183835,0.0135589538105911,0.8923076923076924,0.013198772185067788,0.7063555385540193,0.02550956859123816,0.0700475435816165,0.013558953810591086,0.5172413793103449,0.04876598490941708,0.9513692215098836,0.00441554292035363,0.3757358150195934,0.052101256760076854
few_shot,GPT-5-Mini,Zooniverse,5,39.6,6.06630035524124,42.6,13.575713609236164,71.4,6.06630035524124,626.4,13.575713609236164,0.48843096280408715,0.060704375347568465,0.3567567567567568,0.0546513545517229,0.4093068416735033,0.04685786777163224,0.936322869955157,0.020292546501100378,0.8538461538461538,0.01614061322053101,0.6465398133559568,0.025276286000953035,0.06367713004484304,0.020292546501100392,0.6432432432432432,0.05465135455172288,0.8977408701954769,0.007244827769489705,0.3354734005393921,0.050917176962825855
few_shot,Gemini-3.1-Pro-Preview,BADCamp,5,47.0,4.358898943540674,82.4,2.9664793948382653,87.0,4.358898943540674,680.6,2.9664793948382653,0.3627226188628529,0.021352715111884652,0.35074626865671643,0.032529096593587124,0.35649009092222494,0.02676625888718114,0.8920052424639581,0.003887915327442008,0.8111482720178372,0.005084394314823385,0.6213757555603372,0.015849234969002698,0.10799475753604193,0.0038879153274420227,0.6492537313432836,0.03252909659358713,0.88668479534965,0.004912227326832297,0.24602354901581364,0.02879876200827853
few_shot,Gemini-3.1-Pro-Preview,PlanningPoker,5,32.8,0.4472135954999579,63.8,4.969909455915671,25.2,0.4472135954999579,567.2,4.969909455915671,0.34024181297949807,0.017082431168812907,0.5655172413793104,0.0077105792327579106,0.42463679648587427,0.013146349699780631,0.8988906497622822,0.007876243194795029,0.8708272859216255,0.007035819822084691,0.7322039455707963,0.004561654921603605,0.1011093502377179,0.00787624319479504,0.4344827586206897,0.0077105792327579106,0.9574606860102095,0.0006930598256344593,0.37175228920584397,0.0138041821803244
few_shot,Gemini-3.1-Pro-Preview,Zooniverse,5,53.4,6.9498201415576215,50.0,2.5495097567963922,57.6,6.9498201415576215,619.0,2.5495097567963922,0.5150248887170289,0.02148649629771439,0.48108108108108116,0.0626109922662849,0.49667369730706473,0.04289870947960575,0.9252615844544095,0.0038109263928197234,0.862051282051282,0.0061884709672549955,0.7031713327677453,0.029624603395613715,0.07473841554559044,0.003810926392819718,0.518918918918919,0.06261099226628486,0.9149680496817407,0.009159697412386335,0.4177588441098904,0.04502343429932535
one_shot,DeepSeek-V4-Pro,BADCamp,5,60.2,3.898717737923586,59.8,5.06951674225463,73.8,3.898717737923586,703.2,5.06951674225463,0.5019534189841394,0.021171181782878093,0.44925373134328356,0.029094908491967057,0.4737697352447735,0.021896272631943478,0.9216251638269988,0.006644189701513288,0.8510590858416945,0.0056074810880532054,0.6854394475851412,0.01358381189179663,0.07837483617300131,0.006644189701513278,0.5507462686567164,0.029094908491967043,0.9050425026307269,0.0043077276653242505,0.3884077812767243,0.023624549691185527
